108 Total,,,,-,-,-,0,1145,1145,0,3,3
109,"Government Elementary SchoolJabair Pur",JABAIRPUR,128010301,-,-,,870,0,870,2,0,2
"",,"JABAIRPUR(MOHALLAH ZAFARABAD)",128010302,-,-,,231,0,231,,,
"",,"JABAIRPUR( SAMANABAD MOTI BAZAR)",128010306,-,-,,247,0,247,,,
109 Total,,,,-,-,-,1348,0,1348,2,0,2
110,"Government Elementary SchoolJabair Pur",JABAIRPUR,128010301,-,-,,0,806,806,0,2,2
"",,"JABAIRPUR(MOHALLAH ZAFARABAD)",128010302,-,-,,0,236,236,,,
"",,"JABAIRPUR( SAMANABAD MOTI BAZAR)",128010306,-,-,,0,231,231,,,
110 Total,,,,-,-,-,0,1273,1273,0,2,2
111,"Government Girls High SchoolJabair Pur","JABAIRPUR(MOHALLAH SAMANABAD, DARBARFAROOQI)",128010303,-,-,,316,277,593,2,2,4
"",,JABAIRPUR,128010304,-,-,,236,235,471,,,
"",,JABAIRPUR,128010305,-,-,,307,283,590,,,
111 Total,,,,-,-,-,859,795,1654,2,2,4
112,"Government Primary  SchoolDhoke Bodly Shah (Jabair Pur)","JABAIR PUR (DHOKEBODLY SHAH, SAMANABAD)",128010307,-,-,,328,315,643,1,1,2
112 Total,,,,-,-,-,328,315,643,1,1,2
113,"Government Boys PrimarySchool Karhan",KARHAN,128010308,-,-,,537,534,1071,1,1,2
113 Total,,,,-,-,-,537,534,1071,1,1,2
114,"Government Girls CommunityModel Elementary SchoolBehkari",BEHKARI,128010201,-,-,,349,0,349,4,0,4
"",,BEHKRI (DHOKE AZIZ),128010202,-,-,,379,0,379,,,
"",,BEHKARI,128010203,-,-,,516,0,516,,,
114 Total,,,,-,-,-,1244,0,1244,4,0,4
115,"Government Girls CommunityModel Elementary SchoolBehkari",BEHKARI,128010201,-,-,,0,291,291,0,3,3
"",,BEHKRI (DHOKE AZIZ),128010202,-,-,,0,432,432,,,
"",,BEHKARI,128010203,-,-,,0,556,556,,,
115 Total,,,,-,-,-,0,1279,1279,0,3,3
116,"Government Primary SchoolNoorwal",NOORWAL,128010204,-,-,,298,307,605,2,2,4
"",,NOORWAL,128010205,-,-,,427,445,872,,,
"",,NOORWAL (PINWAL),128010206,-,-,,21,20,41,,,
116 Total,,,,-,-,-,746,772,1518,2,2,4
117,"Government Girls ElementarySchool Pinwal .",PINWAL,128060408,-,-,,629,0,629,4,0,4
PINWAL,128060409,-,-,,495,0,495,,,,,
PINWAL,128060410,-,-,,224,0,224,,,,,
118,"Government Girls ElementarySchool Pinwal .",PINWAL,128060408,-,-,,0,605,605,0,3,3
"",,PINWAL,128060409,-,-,,0,484,484,,,
"",,PINWAL,128060410,-,-,,0,210,210,,,
118 Total,,,,-,-,-,0,1299,1299,0,3,3
119,"Government Elementary SchoolOudherwal","UDHARWAL(NURSERY NIZAMDEEN, MASJIDLOHARAN, TALAGANGROAD)",128020101,-,-,,0,778,778,0,2,2
"",,"UDHARWAL(MOHALLAH SIAL)",128020107,-,-,,0,248,248,,,
119 Total,,,,-,-,-,0,1026,1026,0,2,2
120,"Government Elementary SchoolOudherwal","UDHARWAL(NURSERY NIZAMDEEN, MASJIDLOHARAN, TALAGANGROAD)",128020101,-,-,,853,0,853,2,0,2
"",,"UDHARWAL(MOHALLAH SIAL)",128020107,-,-,,229,0,229,,,
120 Total,,,,-,-,-,1082,0,1082,2,0,2
121,"Government High SchoolChakora","URDHARWAL (GHAZIABAD, CHAKORA)",128020102,-,-,,121,111,232,1,1,2
"URDHARWAL (GGHSCHAKORA, TALAGANGROAD, MADNIMASJID)",128020103,-,-,,238,246,484,,,,,
"UDHARWAL(CHAKORA)",128020113,-,-,,58,61,119,,,,,
122,"Government Girls ElementarySchool Oudherwal","UDHARWAL(TALAGANG ROAD)",128020106,-,-,,61,65,126,1,1,2
"",,"UDHAWARAL (MASJIDLOHARAN,MOHALLAH RAJGAN)",128020111,-,-,,97,103,200,,,
"",,"UDHAWARAL (MASJIDLOHARAN)",128020112,-,-,,147,139,286,,,
122 Total,,,,-,-,-,305,307,612,1,1,2
123,"Government Girls High SchoolChakora","UDHARWAL(CHAKORA)",128020104,-,-,,472,442,914,2,2,4
"",,"UDHARWAL(CHAKORA)",128020105,-,-,,483,477,960,,,
123 Total,,,,-,-,-,955,919,1874,2,2,4
124,"Government Girls ElementarySchool Oudherwal","UDHARWAL(BAHADUR ABAD,DHAKU ROAD)",128020108,-,-,,226,0,226,2,0,2
"",,UDHARWAL (MIANA),128020109,-,-,,347,0,347,,,
"",,"UDHARWAL(MUHALLAH SARKARI)",128020110,-,-,,441,0,441,,,
"",,ODHERWAL,128020114,-,-,,4,0,4,,,
124 Total,,,,-,-,-,1018,0,1018,2,0,2
125,"Government Girls ElementarySchool Oudherwal","UDHARWAL(BAHADUR ABAD,DHAKU ROAD)",128020108,-,-,,0,201,201,0,2,2
UDHARWAL (MIANA),128020109,-,-,,0,311,311,,,,,
"UDHARWAL(MUHALLAH SARKARI)",128020110,-,-,,0,423,423,,,,,
ODHERWAL,128020114,-,-,,0,1,1,,,,,
126,Government High School Sadwal,SADWAL,128020201,-,-,,661,0,661,4,0,4
"",,SADWAL,128020202,-,-,,304,0,304,,,
"",,SADWAL,128020203,-,-,,175,0,175,,,
"",,DHALAL,128020209,-,-,,313,0,313,,,
126 Total,,,,-,-,-,1453,0,1453,4,0,4
127,Government High School Sadwal,SADWAL,128020201,-,-,,0,619,619,0,4,4
"",,SADWAL,128020202,-,-,,0,307,307,,,
"",,SADWAL,128020203,-,-,,0,187,187,,,
"",,DHALAL,128020209,-,-,,0,296,296,,,
127 Total,,,,-,-,-,0,1409,1409,0,4,4
128,"Government Girls High SchoolSadwal",SADWAL,128020204,-,-,,423,0,423,2,0,2
"",,SADWAL,128020205,-,-,,331,0,331,,,
"",,SADWAL,128020206,-,-,,229,0,229,,,
128 Total,,,,-,-,-,983,0,983,2,0,2
129,"Government Girls High SchoolSadwal",SADWAL,128020204,-,-,,0,403,403,0,2,2
"",,SADWAL,128020205,-,-,,0,340,340,,,
"",,SADWAL,128020206,-,-,,0,217,217,,,
129 Total,,,,-,-,-,0,960,960,0,2,2
130,Government High School Murid .,"MUREED (MOHALLAHSHAIR KHAN)",128030501,-,-,,241,0,241,4,0,4
"MUREED (KHOTHIANWALA)",128030502,-,-,,363,0,363,,,,,
"MUREED (MOHALLAHPATWAL)",128030503,-,-,,433,0,433,,,,,
"MUREED (BABA SAKHISHAH BALA MUREED)",128030504,-,-,,282,0,282,,,,,
131,"Government Girls High SchoolMurid","MUREED (MOHALLAHSHAIR KHAN)",128030501,-,-,,0,212,212,0,3,3
"",,"MUREED (KHOTHIANWALA)",128030502,-,-,,0,352,352,,,
"",,"MUREED (MOHALLAHPATWAL)",128030503,-,-,,0,403,403,,,
"",,"MUREED (BABA SAKHISHAH BALA MUREED)",128030504,-,-,,0,245,245,,,
131 Total,,,,-,-,-,0,1212,1212,0,3,3
132,"Government Boys High SchoolMurid","MUREED (BABA SAKHISHAH)",128030505,-,-,,351,0,351,2,0,2
"",,"MUREED (MUHALLAHMEDAAN)",128030506,-,-,,287,0,287,,,
"",,"MUREED (LASORAYWALI MASJID,MOHALLAH RAWAL)",128030507,-,-,,275,0,275,,,
132 Total,,,,-,-,-,913,0,913,2,0,2
133,"Government Boys High SchoolMurid","MUREED (MOHALLHHIGH SCHOOL)",128030512,-,-,,218,0,218,2,0,2
"MUREED (MOHALLAHMAIDAAN)",128030513,-,-,,463,0,463,,,,,
"MUREED (MOHALLAHHIGH SCHOOL)",128030515,-,-,,286,0,286,,,,,
134,"Government Girls High SchoolMurid","MUREED (MOHALLHHIGH SCHOOL)",128030512,-,-,,0,228,228,0,2,2
"",,"MUREED (MOHALLAHMAIDAAN)",128030513,-,-,,0,510,510,,,
"",,"MUREED (MOHALLAHHIGH SCHOOL)",128030515,-,-,,0,249,249,,,
134 Total,,,,-,-,-,0,987,987,0,2,2
135,"Government Girls High SchoolMurid","MUREED (BABA SAKHISHAH)",128030505,-,-,,0,362,362,0,2,2
"",,"MUREED (MUHALLAHMEDAAN)",128030506,-,-,,0,282,282,,,
"",,"MUREED (LASORAYWALI MASJID,MOHALLAH RAWAL)",128030507,-,-,,0,260,260,,,
135 Total,,,,-,-,-,0,904,904,0,2,2
136,"Government Boys High SchoolMurid (Primary Portion)","MUREED (MOHALLAHKALOJO, LASORAYWALI)",128030508,-,-,,284,0,284,2,0,2
"",,"MUREED(MAKHDOOM PUR)",128030509,-,-,,138,0,138,,,
"",,"MUREED (MOHALLAHGULBARG)",128030510,-,-,,101,0,101,,,
"",,"MUREED (MOHALLAHTALLAB)",128030511,-,-,,267,0,267,,,
"",,"MUREED(MAKHDOOM PUR)",128030514,-,-,,213,0,213,,,
136 Total,,,,-,-,-,1003,0,1003,2,0,2
137,"Office of the Union CouncilMurid","MUREED(MAKHDOOM PUR)",128030509,-,-,,0,141,141,0,2,2
"",,"MUREED (MOHALLAHGULBARG)",128030510,-,-,,0,101,101,,,
"",,"MUREED (MOHALLAHTALLAB)",128030511,-,-,,0,264,264,,,
"",,"MUREED(MAKHDOOM PUR)",128030514,-,-,,0,204,204,,,
137 Total,,,,-,-,-,0,1013,1013,0,2,2
138,"Government Elementary SchoolKhoday",KHARAY,128020401,-,-,,318,304,622,2,2,4
"",,KHARAY,128020402,-,-,,492,526,1018,,,
138 Total,,,,-,-,-,810,830,1640,2,2,4
139,Government High School Minwal,MINWAL,128050901,-,-,,793,0,793,3,0,3
"",,MINWAL,128050902,-,-,,324,0,324,,,
139 Total,,,,-,-,-,1117,0,1117,3,0,3
140,"Government Girls High SchoolMinwal",MINWAL,128050901,-,-,,0,793,793,0,2,2
"",,MINWAL,128050902,-,-,,0,343,343,,,
140 Total,,,,-,-,-,0,1136,1136,0,2,2
141,"Government Girls PrimarySchool Murhal",MURHAL,128050903,-,-,,400,394,794,1,1,2
141 Total,,,,-,-,-,400,394,794,1,1,2
142,"Government Model PrimarySchool Joya Mair",JOYMAIR,128020403,-,-,,481,464,945,1,1,2
"",,CHAK GHAKAR,128020404,-,-,,52,55,107,,,
142 Total,,,,-,-,-,533,519,1052,1,1,2
143,"Government  Girls PrimarySchool Bikhari Khurd",BHIKHARI KHURD,128050308,-,-,,458,411,869,2,1,3
BHIKHARI KHURD,128050309,-,-,,126,122,248,,,,,
144,Government High School Narang,NARANG,128050201,-,-,,542,0,542,4,0,4
"",,"NARANG(MASJIDJAFRIA)",128050202,-,-,,201,0,201,,,
"",,NARANG,128050203,-,-,,190,0,190,,,
"",,NARANG,128050204,-,-,,275,0,275,,,
144 Total,,,,-,-,-,1208,0,1208,4,0,4
145,"Government Girls High SchoolNarang",NARANG,128050201,-,-,,0,480,480,0,3,3
"",,"NARANG(MASJIDJAFRIA)",128050202,-,-,,0,222,222,,,
"",,NARANG,128050203,-,-,,0,185,185,,,
"",,NARANG,128050204,-,-,,0,293,293,,,
145 Total,,,,-,-,-,0,1180,1180,0,3,3
146,"Oxford Academey, Bilal MasjidStreet Faisal Colony, Chakwal.",-,-,MADINA TOWN,128100801,,161,0,161,4,0,4
"-",-,"MADINA TOWN,FAISAL COLONY",128100802,,345,0,345,,,,,
"-",-,"FAISAL COLONY,TALAGANG ROAD",128100803,,370,0,370,,,,,
"-",-,FAISAL COLONY,128100804,,179,0,179,,,,,
"-",-,FAISAL COLONY,128100805,,64,0,64,,,,,
"-",-,"FAISAL COLONY,GULSHAN IQBAL,MADINA TOWN",128100806,,211,0,211,,,,,
147,"Oxford Academey, Bilal MasjidStreet Faisal Colony, Chakwal.",-,-,MADINA TOWN,128100801,,0,179,179,0,3,3
"",,-,-,"MADINA TOWN,FAISAL COLONY",128100802,,0,328,328,,,
"",,-,-,"FAISAL COLONY,TALAGANG ROAD",128100803,,0,368,368,,,
"",,-,-,FAISAL COLONY,128100804,,0,168,168,,,
"",,-,-,FAISAL COLONY,128100805,,0,67,67,,,
"",,-,-,"FAISAL COLONY,GULSHAN IQBAL,MADINA TOWN",128100806,,0,174,174,,,
147 Total,,-,-,,,-,0,1284,1284,0,3,3
148,"Government MC, Girls PrimarySchool No. 5 Mohallah BehariColony Chakwal",-,-,"DHAKOO ROAD,MOHALLAHCHISHTIAN",128100701,,301,299,600,2,2,4
"",,-,-,"DHAKOOROAD,MOHALLAHCHISHTIAN,FEROZE ABAD",128100702,,393,316,709,,,
148 Total,,-,-,,,-,694,615,1309,2,2,4
149,"Municipal Stadium MadinaTown Chakwal",-,-,"DHAKOO ROAD,FEROZE ABAD",128100703,,375,0,375,2,0,2
"",,-,-,GULSHAN IQBAL,128100704,,70,0,70,,,
"",,-,-,"DHAKOO ROAD,MADINA TOWN,SHAMSI",128100705,,397,0,397,,,
149 Total,,-,-,,,-,842,0,842,2,0,2
150,"Municipal Stadium MadinaTown Chakwal",-,-,"DHAKOO ROAD,FEROZE ABAD",128100703,,0,371,371,0,2,2
"",,-,-,GULSHAN IQBAL,128100704,,0,60,60,,,
"",,-,-,"DHAKOO ROAD,MADINA TOWN,SHAMSI",128100705,,0,376,376,,,
150 Total,,-,-,,,-,0,807,807,0,2,2
151,"Buildings Work and ServicesDepartment Chakwal",-,-,"MOHALLAHCHISHTIAN,DHAKU ROAD",128100602,,0,293,293,0,2,2
151 Total,,-,-,,,-,0,734,734,0,2,2
152,"Office of SDO Public HealthEngineering DepartmentChakwal",-,-,"MOHALLAH LINEPARK",128100601,,430,0,430,2,0,2
"",,-,-,"MOHALLAHCHISHTIAN,DHAKU ROAD",128100602,,282,0,282,,,
152 Total,,-,-,,,-,712,0,712,2,0,2
153,"Government Girls ElementarySchool Masoodabad, NishatColony, Chakwal.",-,-,"MAGHI ROAD,NISHAT COLONY",128100603,,526,0,526,3,0,3
"",,-,-,"MAGHI ROAD,NISHAT COLONY,DHAKU ROAD",128100604,,394,0,394,,,
"",,-,-,JINNAH COLONY,128100605,,274,0,274,,,
153 Total,,-,-,,,-,1194,0,1194,3,0,3
154,"Government Girls ElementarySchool Masoodabad, NishatColony, Chakwal.",-,-,"MAGHI ROAD,NISHAT COLONY",128100603,,0,455,455,0,3,3
"",,-,-,"MAGHI ROAD,NISHAT COLONY,DHAKU ROAD",128100604,,0,359,359,,,
"",,-,-,JINNAH COLONY,128100605,,0,244,244,,,
154 Total,,-,-,,,-,0,1058,1058,0,3,3
155,"Government Elementry SchoolMuhammad Ali Chakwal",-,-,"MOHALLAH LINEPARK MAGHIROAD",128100501,,223,244,467,2,2,4
"",,-,-,"MAGHI ROAD,LINE PARK",128100505,,471,473,944,,,
155 Total,,-,-,,,-,694,717,1411,2,2,4
"-",-,"JAFAR ABAD,PLANT ROAD,SIDIQUE ABAD",128100502,,760,0,760,,,,,
"",,-,-,"ALLAMA IQBALROAD",128100504,,269,0,269,,,
156 Total,,-,-,,,-,1256,0,1256,3,0,3
157,"Government Girls High SchoolNo.2 Chakwal Mohallah LinePark",-,-,"JAFAR ABAD,PLANT ROAD,SIDIQUE ABAD",128100502,,0,793,793,0,3,3
"",,-,-,JAFAR ABAD,128100503,,0,210,210,,,
"",,-,-,"ALLAMA IQBALROAD",128100504,,0,263,263,,,
157 Total,,-,-,,,-,0,1266,1266,0,3,3
158,"The Legends School System(Mumtaz Acedemy near MilatChowk) Chakwal",-,-,"ALLAMA IQLABTOWN, MAGHIROAD",128100506,,411,0,411,4,0,4
"-",-,"MAGHI ROAD,QUTAB ABAD,ALLAMA IQBALTOWN",128100507,,505,0,505,,,,,
"-",-,"NAWAB TOWN,MUHAMMAD ALITOWN, THANELROAD",128100508,,434,0,434,,,,,
159,"The Legends School System(Mumtaz Acedemy near MilatChowk) Chakwal",-,-,"ALLAMA IQLABTOWN, MAGHIROAD",128100506,,0,375,375,0,4,4
"",,-,-,"MAGHI ROAD,QUTAB ABAD,ALLAMA IQBALTOWN",128100507,,0,436,436,,,
"",,-,-,"NAWAB TOWN,MUHAMMAD ALITOWN, THANELROAD",128100508,,0,367,367,,,
159 Total,,-,-,,,-,0,1178,1178,0,4,4
160,"Government Girls PrimarySchool Ashraf Town MohallahJaffarabad, Chakwal",-,-,"JAFAR ABAD,UMAR ABAD",128100404,,403,357,760,2,2,4
"",,-,-,"ASHRAF TOWN,JAFAR ABAD,UMAR ABAD",128100407,,325,287,612,,,
160 Total,,-,-,,,-,728,644,1372,2,2,4
161,"Fauji Foundation Model SchoolNo.2 Pindi Road, Chakwal.",-,-,"ASHRAF TOWN,JAFAR ABAD",128100402,,496,0,496,2,0,2
"",,-,-,JAFAR ABAD,128100403,,472,0,472,,,
161 Total,,-,-,,,-,968,0,968,2,0,2
162,"Fauji Foundation Model SchoolNo.2 Pindi Road, Chakwal.",-,-,"ASHRAF TOWN,JAFAR ABAD",128100402,,0,468,468,0,2,2
"",,-,-,JAFAR ABAD,128100403,,0,448,448,,,
162 Total,,-,-,,,-,0,916,916,0,2,2
163,"Punjab Small Industries PindiRoad, Chakwal.",-,-,ASHRAF TOWN,128100401,,185,0,185,2,0,2
"",,-,-,"JAFAR ABAD,UMAR ABAD",128100405,,391,0,391,,,
"",,-,-,ASHRAF TOWN,128100406,,89,0,89,,,
163 Total,,-,-,,,-,665,0,665,2,0,2
164,"Social Security Dispensary SmallIndustrial State, Chakwal.",-,-,ASHRAF TOWN,128100401,,0,173,173,0,2,2
"",,-,-,"JAFAR ABAD,UMAR ABAD",128100405,,0,324,324,,,
"",,-,-,ASHRAF TOWN,128100406,,0,78,78,,,
164 Total,,-,-,,,-,0,575,575,0,2,2
165,"Government Girls PrimarySchool Dhoke Momin pindiRoad, Chakwal",-,-,"GULBARG TOWN,PEER BUKHARIDARBAR",128100201,,212,0,212,2,0,2
"",,-,-,"RAWALPINDIROAD, CRISTIANCOLONY, USMANABAD",128100202,,464,0,464,,,
"",,-,-,USMAN ABAD,128100203,,258,0,258,,,
165 Total,,-,-,,,-,934,0,934,2,0,2
166,"Government Girls PrimarySchool Dhoke Momin pindiRoad, Chakwal",-,-,"GULBARG TOWN,PEER BUKHARIDARBAR",128100201,,0,208,208,0,2,2
"",,-,-,"RAWALPINDIROAD, CRISTIANCOLONY, USMANABAD",128100202,,0,452,452,,,
"",,-,-,USMAN ABAD,128100203,,0,256,256,,,
166 Total,,-,-,,,-,0,916,916,0,2,2
167,"Government Post GraduateCollege, Chakwal",-,-,USMAN ABAD,128100301,,69,0,69,2,0,2
"",,-,-,"USMAN ABAD,MOHALLAH CHAHLOHARAN",128100302,,569,0,569,,,
"",,-,-,"MOHALLAHSHUMALI CHAHLOHARAN",128100303,,291,0,291,,,
167 Total,,-,-,,,-,929,0,929,2,0,2
168,"Government Post GraduateCollege, Chakwal",-,-,USMAN ABAD,128100301,,0,79,79,0,2,2
"",,-,-,"USMAN ABAD,MOHALLAH CHAHLOHARAN",128100302,,0,577,577,,,
"",,-,-,"MOHALLAHSHUMALI CHAHLOHARAN",128100303,,0,311,311,,,
168 Total,,-,-,,,-,0,967,967,0,2,2
169,"Government MC Primary SchoolNo. 2, Committee Bagh, Chakwal",-,-,"BY PASS ROAD,MOHALLAHSHUMALI",128100304,,107,106,213,2,2,4
"",,-,-,"ISHAQ SHAHEEDROAD,MOHALLAHSIDDIQUE ROAD",128100305,,148,168,316,,,
"",,-,-,GHALA MANDI,128100306,,171,180,351,,,
"",,-,-,"GHALA MANDI,RAILWAY ROAD,DHOKE ESAYAN",128100307,,251,244,495,,,
"",,-,-,"RAILWAY ROAD,WATAR SUPPLY",128100308,,176,173,349,,,
169 Total,,-,-,,,-,853,871,1724,2,2,4
170,"Government Primary School,Ashraf Town 3 Marla Scheme,Chakwal.",-,-,"DHOKE MOMIN,USMAN ABAD",128100204,,0,687,687,0,3,3
"-",-,"RAWALPINDIROAD, USMANABAD",128100205,,0,137,137,,,,,
"-",-,"JINNAH COLONY,MOHALLHBHATIAN,GULISTAN TOWN",128100206,,0,273,273,,,,,
171,"District Sports Complex NearRawalpindi Road, Chakwal",-,-,"DHOKE MOMIN,USMAN ABAD",128100204,,726,0,726,4,0,4
"",,-,-,"RAWALPINDIROAD, USMANABAD",128100205,,144,0,144,,,
"",,-,-,"JINNAH COLONY,MOHALLHBHATIAN,GULISTAN TOWN",128100206,,293,0,293,,,
171 Total,,-,-,,,-,1163,0,1163,4,0,4
172,"District Sports Complex NearRawalpindi Raod, Chakwal",-,-,"DHOKE FEROZE,SARKARI TALAB",128100101,,336,0,336,4,0,4
"",,-,-,"MEHR ABAD,DHOKE FEROZE",128100102,,824,0,824,,,
172 Total,,-,-,,,-,1160,0,1160,4,0,4
173,"District Sports Complex, NearRawalpindi Raod, Chakwal",-,-,"DHOKE FEROZE,SARKARI TALAB",128100101,,0,312,312,0,2,2
"",,-,-,"MEHR ABAD,DHOKE FEROZE",128100102,,0,745,745,,,
173 Total,,-,-,,,-,0,1057,1057,0,2,2
174,"Government Girls High SchoolNo.4, Dhoke Feroz, Chakwal",-,-,DHOKE FEROZE,128100103,,320,0,320,2,0,2
"",,-,-,DHOKE FEROZE,128100104,,199,0,199,,,
"",,-,-,"PINWAL ROAD,JANWAL TOWN",128100105,,351,0,351,,,
"",,-,-,DHOKE FEROZE,128100106,,53,0,53,,,
174 Total,,-,-,,,-,923,0,923,2,0,2
175,"Government Girls High SchoolNo.4, Dhoke Feroz, Chakwal",-,-,DHOKE FEROZE,128100103,,0,311,311,0,2,2
"-",-,DHOKE FEROZE,128100104,,0,189,189,,,,,
"-",-,"PINWAL ROAD,JANWAL TOWN",128100105,,0,322,322,,,,,
"-",-,DHOKE FEROZE,128100106,,0,45,45,,,,,
176,"Government Boys High School,No.2, Pinwal Road, Chakwal",-,-,DHOKE GUJJAR,128090105,,632,631,1263,2,2,4
"",,-,-,JANWAL TOWN,128090106,,90,94,184,,,
176 Total,,-,-,,,-,722,725,1447,2,2,4
177,"Government Girls PrimarySchool Mohallah Farooqi,Chakwal.",-,-,"MOHALLAHREHMANIA",128090101,,826,821,1647,2,2,4
"",,-,-,"MOHALLAHFAROOQI,REHMANIA",128090102,,42,37,79,,,
177 Total,,-,-,,,-,868,858,1726,2,2,4
178,"Office Of The District WelfarePopulation Welfare OfficerJhelum Road Chakwal",-,-,"MOHALLAHFAROOQI, JABAIRPUR ROAD",128090103,,563,0,563,4,0,4
"",,-,-,"MASJIDALKAUSAR,MOHALLAHFAROOQI",128090104,,336,0,336,,,
"",,-,-,"MOHALLAHFAROOQI JABAIRPUR ROAD",128090107,,401,0,401,,,
178 Total,,-,-,,,-,1300,0,1300,4,0,4
179,"Office of the District FoodController, Chakwal",-,-,"MOHALLAHFAROOQI, JABAIRPUR ROAD",128090103,,0,552,552,0,4,4
"-",-,"MASJIDALKAUSAR,MOHALLAHFAROOQI",128090104,,0,316,316,,,,,
"-",-,"MOHALLAHFAROOQI JABAIRPUR ROAD",128090107,,0,352,352,,,,,
180,"Government MC Girls PrimarySchool No.3 Mohallah GhausiaChakwal",-,-,"MOHALLAHFAROOQI TAYYBAMASJID JABAIRPUR ROAD",128090201,,0,355,355,0,2,2
"",,-,-,"MOHALLAHGHAUSIAJEHALUM ROAD",128090202,,0,270,270,,,
"",,-,-,"MOHALLAHGHAUSIAJEHALUM ROAD",128090203,,0,400,400,,,
180 Total,,-,-,,,-,0,1025,1025,0,2,2
181,"Government MC Girls PrimarySchool No.3 Mohallah GhausiaChakwal",-,-,"MOHALLAHFAROOQI TAYYBAMASJID JABAIRPUR ROAD",128090201,,393,0,393,3,0,3
"",,-,-,"MOHALLAHGHAUSIAJEHALUM ROAD",128090202,,299,0,299,,,
"",,-,-,"MOHALLAHGHAUSIAJEHALUM ROAD",128090203,,386,0,386,,,
181 Total,,-,-,,,-,1078,0,1078,3,0,3
182,"Government Deaf & DeamSchool Tatral Road Chakwal",-,-,"MOHALLAHGHAUSIA PEERSAHABA ROAD",128090204,,134,0,134,2,0,2
"",,-,-,"PEER SAHABADAB ROAD",128090205,,447,0,447,,,
"",,-,-,"DAB ROAD,ISLAM PURA,REHMAN ABAD,CHOA CHOWK",128090206,,440,0,440,,,
182 Total,,-,-,,,-,1021,0,1021,2,0,2
"-",-,"MOHALLAHGHAUSIA PEERSAHABA ROAD",128090204,,0,138,138,,,,,
183,"Government Deaf & DeamSchool Tatral Road Chakwal",-,-,"PEER SAHABADAB ROAD",128090205,,0,430,430,0,2,2
"",,-,-,"DAB ROAD,ISLAM PURA,REHMAN ABAD,CHOA CHOWK",128090206,,0,395,395,,,
183 Total,,-,-,,,-,0,963,963,0,2,2
184,"Government Girls ElementarySchool Kot Ganish, (Sarpak)Chakwal",-,-,"MASJID SIDIQUI,NANBAI BAZAR,MASJID HANIF",128090305,,0,870,870,0,4,4
"",,-,-,"SARPAK, ALIMASJID JEHLUMROAD",128090306,,0,407,407,,,
"",,-,-,"MASJID ALLAMASAHIB,MOHALLAHKHUWAJGAN",128090310,,0,0,0,,,
184 Total,,-,-,,,-,0,1277,1277,0,4,4
185,"Government Girls ElementarySchool Kot Ganish, (Sarpak)Chakwal",-,-,"MASJID SIDIQUI,NANBAI BAZAR,MASJID HANIF",128090305,,851,0,851,4,0,4
"-",-,"SARPAK, ALIMASJID JEHLUMROAD",128090306,,407,0,407,,,,,
"-",-,"MASJID ALLAMASAHIB,MOHALLAHKHUWAJGAN",128090310,,0,0,0,,,,,
186,"Government MC GirlsElementary School ChapparChowk Chakwal",-,-,"DARAL ALUUMHANFIA, MASJIDAL HADITH,HOSPITAL ROAD,CHAPPAR BAZAR)",128090304,,1004,0,1004,2,0,2
186 Total,,-,-,,,-,1004,0,1004,2,0,2
187,"Government MC GirlsElementary School ChapparChowk Chakwal",-,-,"DARAL ALUUMHANFIA, MASJIDAL HADITH,HOSPITAL ROAD,CHAPPAR BAZAR)",128090304,,0,891,891,0,2,2
187 Total,,-,-,,,-,0,891,891,0,2,2
188,"Government  MC Boys SchoolBhoun Chowk Chakwal",-,-,"MOHALLAHGARBI",128090301,,0,845,845,0,4,4
"",,-,-,"NIA MOHALLAHBHOUN ROAD",128090302,,0,522,522,,,
188 Total,,-,-,,,-,0,1367,1367,0,4,4
189,"Government  MC Boys SchoolBhoun Chowk Chakwal",-,-,"MOHALLAHGARBI",128090301,,852,0,852,4,0,4
"",,-,-,"NIA MOHALLAHBHOUN ROAD",128090302,,521,0,521,,,
189 Total,,-,-,,,-,1373,0,1373,4,0,4
190,"Government Girls High SchoolNo.1 Chakwal",-,-,"MOTI BAZAR,SAIEN FREEOZ,SARAFA BAZAR",128090303,,1178,0,1178,4,0,4
190 Total,,-,-,,,-,1178,0,1178,4,0,4
191,"Government Girls High SchoolNo.1 Chakwal",-,-,"MOTI BAZAR,SAIEN FREEOZ,SARAFA BAZAR",128090303,,0,1059,1059,0,2,2
192,"Government MC  Primary Boys &Girls School No. 2 Chakwal.",-,-,"MOHALLAHSUNEHRI MASJID,PURANI SABZIMANDI, SARPAK",128090307,,1173,0,1173,4,0,4
"",,-,-,"MOHALLAHKHUWAJGAN,PURANI CITYPOLICE,MOHALLAHBHATIAN, MASJIDMALKAN,MUHALLAHDARUL KALAN",128090311,,759,0,759,,,
192 Total,,-,-,,,-,1932,0,1932,4,0,4
193,"Government MC Primary Boys &Girls School No. 2 Chakwal.",-,-,"MOHALLAHSUNEHRI MASJID,PURANI SABZIMANDI, SARPAK",128090307,,0,1153,1153,0,4,4
"-",-,"MOHALLAHKHUWAJGAN,PURANI CITYPOLICE,MOHALLAHBHATIAN, MASJIDMALKAN,MUHALLAHDARUL KALAN",128090311,,0,740,740,,,,,
194,"Government Deaf & DeamSchool Tatral Road Chakwal",-,-,"SARKARL ROAD,MINHAS ABAD,MOHALLAHSULEMAN ABAD",128090308,,418,0,418,2,0,2
